start	end	text
600764	606403	From our network, we have to go into the production VM and get it from there, right?
606383	611365	Okay, so I tried that and I was, wait, there's nothing in here.
611632	612436	from this year.
613039	613923	Yeah.
614084	617440	Our Prada Fest is a different Prada Fest.
618365	619567	Right.
624440	627743	Anything going to production this week or anything going to testing this week?
629414	629877	At least wise.
630818	631751	You got anything interesting?
636623	642263	I don't think we have anything interesting.
645112	650295	Have you gotten any word from battles on monitors?
652452	658362	They may want to wait and move you guys after we get the server room moved.
658932	664943	did they get access points put in over there
664923	665100	you.
668635	669984	Let's walk over there.
670044	672823	Look around.
673040	675022	That was the main issue.
675063	676519	We didn't move you over there.
676499	679692	after we knew the Wi-Fi was working,
679672	683410	Once you get around that wall, you don't get anything from over here.
683431	685581	So we had to put one over there.
685561	689091	Once you guys get moved over there, I'm gonna lose my chill chair.
690218	695655	Yeah, the one that's way back there in the corner, that's next to the window.
695635	699165	So when I take my breaks, I go over and sit in that chair and look out the window.
701457	702381	I'll still be there.
703144	704088	Yeah, but they'll be there.
704490	707282	I don't want to mess with them, and I don't want them to mess with me.
707465	709729	Yeah, that's true.
710637	712436	Right.
713063	714336	I'll find another place.
722804	725389	Like I said, I'll be on Friday.
725430	726520	Ethan's out all week.
727850	731717	Hopefully no big goals this week.
732322	734314	So Ethan is, he's going to be out all week.
734777	737573	Okay.
738295	740064	The rest of the team is prepared.
740767	743260	So Dustin Hodges that works with
744320	746274	in accounting down there?
746395	747886	Dustin actually does the sales stuff.
748248	748812	Right.
748792	751425	He preached at our church this weekend.
751727	752068	Oh, really?
752350	752611	Yeah.
753375	754802	That was pretty cool.
754782	756370	I know you from somewhere.
756410	758902	And he said, yeah, I know you work at WWM.
759082	760489	We had the whole conversation.
760469	763999	That was kind of a, one of those
765633	768803	coincidence sort of things.
769106	769348	Interesting.
771100	775609	Like I said I'll be out Friday.
779386	784654	I'm going to be out next week.
786575	787460	Greg's out next week.
787480	791100	Anybody else out coming up before?
792059	792703	Summer ends.
794976	796888	It's got the whole death cotton thing coming out.
797310	797833	That's right.
798337	801208	I mean, what was it?
802825	803390	August.
804015	804902	Is that the first week of August?
806011	806878	It's like the
807550	810557	Well, technically the August 1st is a Friday
812056	813546	It'll be like a week after that.
815942	816325	Okay.
816345	818016	It's the official dates.
818738	820449	Yeah, they're out there.
820891	824614	I think it's like the first Tuesday
825218	825922	Okay.
825942	826042	Yeah.
826143	828958	Flying back that next Monday.
828978	830908	I thought we were flying back that Sunday.
831192	833930	But apparently we're flying back that Monday.
835077	835178	Okay.
837503	837967	All right.
839337	842138	Andrew, you got any facts?
842159	842924	Can you hear me?
842945	843025	Yep.
844237	844741	All right.
844882	846414	I have one fact.
846595	849336	I may have used it, but it was a while ago if I did.
849822	854533	I still think this is a cool concept, but China's the only
854513	860203	country in the world with giant pandas and they have what they call panda
860183	864102	diplomacy, which is basically if they're on good terms with
864470	869670	they will lend you a panda to have in your zoo and if they
870342	874058	your country does something that they do not like.
874409	877585	they will recall the pandas and ship them back to China.
878408	883744	Currently there are four in the United States in various cities.
884247	888604	And there are at least 25 zoos worldwide.
889124	891379	that have Chinese pandas.
892486	893231	Look, doesn't St.
893271	894077	Louis still have one?
894258	894882	They used to.
896279	897448	I think so.
897952	899927	Yeah, I think so.
899907	902681	I saw on the Wikipedia page it mentioned St.
902701	905918	Louis as one of the first zoos to have one.
905898	911183	It doesn't seem like that would be a very strong diplomatic
911163	913478	leveraging point, you know?
914099	918810	You better recall those tariffs and we're going to take our pandas back.
919212	921831	Thank you.
922402	926956	Well, I think it's just supposed to keep it in the news.
927016	927822	Right.
927802	931872	where I was like, is not happy about something.
933252	938470	I wonder that like you got all these different species that live everywhere
938450	943262	What's keeping other countries from
943242	946097	starting their own population, though.
947782	952223	That would be a major scandal if we started...
952203	953735	breeding operations.
954077	956475	Yeah, our own panda population.
956793	958220	Maybe China controls it.
958260	960491	We're only going to send you boy pandas.
960511	960611	Yeah.
962079	962601	I think
962885	968068	I know that there have been babies born in American zoos,
968048	971967	but I think per the agreement they belong to China,
971947	977957	so they may let us keep them, but they can still take them back.
977937	978146	you
984130	985282	Alright.
986932	987636	Nice.
988441	989567	Maybe it'll be a quiet week.
990834	991558	Yeah.
991775	993942	Yeah, no releases going out, so.
994225	994731	Right.
995892	999751	Alright, thanks guys.
999831	1000215	Alright, bye.
1009021	1013125	Oh, yeah.
1013797	1015487	Vacation Bible School.
1021424	1027401	They redid the school's sound system in the gym.
1027381	1030219	So it's a lot easier.
1031026	1034047	but I don't have anything.
1034067	1034168	Yeah.
1034148	1040158	We have a little small church and our gym is in the parking lot and it has a broken basketball goal.
1040138	1040300	Bye.
1052069	1056963	and it goes through all the speakers.
1056983	1057084	Cool.
1057672	1060525	We've got a distribution amp, but we don't use it really.
1060846	1063277	It's got all these different channels on it.
1063257	1068525	control like you can make the sound come out of wherever you want it to come out of but
1069248	1072331	We only have two speakers.
1072351	1074870	So I don't even know why they bought it to put it in.
1075137	1077094	I think actually, I think it was all donated.
1077699	1079070	Yeah, that's cool.
1079191	1079292	Yeah.
1081347	1083170	So we're like, well, it's donated.
1083190	1084506	Let's go ahead and put it in.
1086832	1088645	It took me a while to figure that one out.
1088665	1092572	I was like, where's the sound?
1093126	1096251	Turn this thing on.
1099673	1102994	Yeah, ours is really simple.
1103014	1104705	We have a 16 channel
1105107	1110595	Mix Master, Heath Allen, and that's pretty much the only thing you have to deal with.
1110575	1115826	Do you know how to turn on the amp in the back and turn on the different channels?
1116228	1119775	That's all you need to know.
1127973	1133292	to it or whatever you're plugging into it it's all built on the screen
1137862	1141711	Yeah, but it's a lot more compact to a big mix of lines like.
1141751	1143282	Yeah.
